Date,Open,High,Low,Close,Adj Close,Volume
1/11/2021,64.949997,66.989998,62.189999,62.700001,62.700001,279770300
1/12/2021,61.419998,64.129997,60.419998,62.040001,62.040001,184319300
1/13/2021,62.939999,64.410004,61.41,62.150002,62.150002,116059200
1/14/2021,62.630001,63.23,60.040001,60.869999,60.869999,99338400
1/15/2021,59.84,60.220001,55.669998,56.27,56.27,132247900
1/19/2021,58.209999,59.009998,56.41,58.439999,58.439999,99561100
1/20/2021,59.849998,60.09,56.189999,57.709999,57.709999,94983600
1/21/2021,57.02,58.580002,55.880001,58.34,58.34,73119500
1/22/2021,58.950001,62.169998,58.32,61.950001,61.950001,133918100
1/25/2021,64.050003,64.519997,58.349998,59.990002,59.990002,111986400
1/26/2021,60.040001,60.669998,58.639999,60.310001,60.310001,70393300
1/27/2021,57.950001,59.790001,56.599998,57.150002,57.150002,73078300
1/28/2021,56.759998,59.459999,55.150002,58.369999,58.369999,73955100
1/29/2021,59.029999,60.709999,56.439999,57,57,78678200
2/1/2021,59.07,59.119999,54.369999,56.990002,56.990002,79878700
2/2/2021,57.060001,57.540001,54.509998,55.77,55.77,66234100
2/3/2021,55.959999,58.720001,54.84,57.98,57.98,80122300
2/4/2021,58.790001,59.200001,57.110001,57.599998,57.599998,48667900
2/5/2021,57.740002,57.98,56.009998,56.669998,56.669998,43057500
2/8/2021,57.080002,59.52,56.18,59.07,59.07,64030100
2/9/2021,58.950001,63.099998,58.240002,62.84,62.84,97246500
2/10/2021,62.549999,64.599998,60.330002,61.259998,61.259998,90366700
2/11/2021,61.689999,63.060001,59.810001,60.27,60.27,55732800
2/12/2021,60.259998,61.049999,59.099998,59.849998,59.849998,40233100
2/16/2021,60.400002,62.139999,58.650002,59.23,59.23,55084100
2/17/2021,57.919998,58.029999,55.900002,57.32,57.32,64196800
2/18/2021,55.450001,56.380001,52.599998,54.43,54.43,62505700
2/19/2021,55.720001,56.040001,54.099998,55.040001,55.040001,43020700
2/22/2021,54.18,54.369999,50.400002,50.68,50.68,68831300
2/23/2021,45.619999,49.669998,41.66,49.110001,49.110001,142544300
2/24/2021,49.310001,52.07,47.75,51.860001,51.860001,82488600
2/25/2021,51.599998,51.849998,46.009998,46.810001,46.810001,95513800
2/26/2021,47,47.950001,44.619999,45.779999,45.779999,100315500
3/1/2021,48.549999,50.419998,47.630001,49.759998,49.759998,94238500
3/2/2021,46.110001,47.130001,42.66,43.290001,43.290001,161334000
3/3/2021,44.580002,45.080002,41.110001,41.529999,41.529999,107863400
3/4/2021,40.490002,42.43,37.59,39.279999,39.279999,205872700
3/5/2021,39.240002,39.869999,31.91,38.110001,38.110001,270803200
3/8/2021,36.970001,39.48,34.900002,35.209999,35.209999,143074800
3/9/2021,37.48,42.080002,36.52,41.349998,41.349998,176602600
3/10/2021,43.5,45.259998,40.25,41.32,41.32,190801800
3/11/2021,44.439999,46.16,42.799999,46.029999,46.029999,134788000
3/12/2021,43.509998,45.799999,42.759998,45.5,45.5,113460100
3/15/2021,45.549999,46.290001,44.380001,44.93,44.93,74013600
3/16/2021,45.040001,45.66,43.169998,43.68,43.68,84361400
3/17/2021,41.900002,45.02,41.330002,44.759998,44.759998,96150000
3/18/2021,43.299999,44.259998,41.450001,41.630001,41.630001,71159900
3/19/2021,41.439999,43.400002,40.439999,43.349998,43.349998,97657200
3/22/2021,44.07,44.560001,42.580002,42.939999,42.939999,72838500
3/23/2021,42.580002,43.110001,40.98,41.18,41.18,58542300
3/24/2021,41.200001,41.290001,36.580002,36.959999,36.959999,130695000
3/25/2021,35.240002,39.189999,35.119999,37.939999,37.939999,118082000
3/26/2021,35.650002,36.650002,34,36.130001,36.130001,163039700
3/29/2021,35.259998,36.84,34.5,35.509998,35.509998,83188200
3/30/2021,35.200001,37.959999,34.610001,37.549999,37.549999,106153500
3/31/2021,38.959999,39.25,37.450001,38.98,38.98,98298400
4/1/2021,41.560001,42.060001,39.25,39.66,39.66,116305500
4/5/2021,40.540001,40.650002,38.720001,39.310001,39.310001,71418400
4/6/2021,38.830002,40.389999,38.419998,40,40,67969400
4/7/2021,39.700001,39.849998,36.950001,37.27,37.27,80022800
4/8/2021,37.619999,39.18,37.470001,38.700001,38.700001,63692000
4/9/2021,38.349998,38.360001,37.009998,38.119999,38.119999,69272700
4/12/2021,37.959999,38,36.759998,37.139999,37.139999,53428100
4/13/2021,37.48,38.66,37.330002,38.48,38.48,62005700
4/14/2021,39.23,39.330002,36.790001,37.02,37.02,78454000
4/15/2021,37.02,37.060001,34.560001,35.66,35.66,100437400
4/16/2021,34.689999,36.540001,34.060001,36.09,36.09,84477400
4/19/2021,36.779999,37.540001,35.360001,36.779999,36.779999,92190700
4/20/2021,37.169998,37.82,35.939999,36.93,36.93,71208600
4/21/2021,36.529999,38.959999,36.16,38.900002,38.900002,77449200
4/22/2021,38.990002,40.450001,38.490002,39.57,39.57,115802700
4/23/2021,40.200001,41.200001,39.540001,41.080002,41.080002,70342400
4/26/2021,41.959999,43.220001,40.860001,42.619999,42.619999,88233500
4/27/2021,43.02,43.130001,41.02,41.209999,41.209999,69998800
4/28/2021,40.740002,41.950001,40.439999,41.189999,41.189999,57639600
4/29/2021,41.380001,41.490002,38.73,38.990002,38.990002,82660700
4/30/2021,37.73,41.220001,37.349998,39.84,39.84,116728700
5/3/2021,40.34,41.450001,39.310001,39.540001,39.540001,80089600
5/4/2021,38.990002,39.32,36.919998,37.93,37.93,78256800
5/5/2021,38.34,38.700001,37.34,37.709999,37.709999,56336200
5/6/2021,37.490002,38.040001,35.77,36.68,36.68,71656000
5/7/2021,37.169998,38.040001,36.619999,36.939999,36.939999,55551700
5/10/2021,36.779999,36.790001,34.299999,34.330002,34.330002,92293900
5/11/2021,32.450001,35.459999,32.200001,34.869999,34.869999,113418900
5/12/2021,34.380001,35.130001,33.48,33.68,33.68,75993700
5/13/2021,33.849998,34.27,30.709999,31.219999,31.219999,113686700
5/14/2021,31.940001,33.689999,31.559999,33.419998,33.419998,80214300
5/17/2021,33.330002,34.16,32.82,33.810001,33.810001,64020000
5/18/2021,34.009998,34.779999,33.259998,34.189999,34.189999,64929500
